accession	message	sample_name	sample_title	bioproject_number	organism	collection_date	env_broad_scale	env_local_scale	env_medium	geo_loc_name	host	lat_lon	isolation_source	sample_id_unique
SAMN13502343	Successfully loaded	13.aes.33	13.aes.33	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.33
SAMN13502344	Successfully loaded	13.aes.34	13.aes.34	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.34
SAMN13502345	Successfully loaded	13.aes.36	13.aes.36	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.36
SAMN13502346	Successfully loaded	13.aes.37	13.aes.37	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.37
SAMN13502347	Successfully loaded	13.aes.38	13.aes.38	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.38
SAMN13502348	Successfully loaded	13.aes.39	13.aes.39	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.39
SAMN13502349	Successfully loaded	13.aes.47	13.aes.47	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.47
SAMN13502350	Successfully loaded	13.aes.48	13.aes.48	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.48
SAMN13502351	Successfully loaded	13.aes.50	13.aes.50	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.50
SAMN13502352	Successfully loaded	13.aes.51	13.aes.51	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.51
SAMN13502353	Successfully loaded	13.aes.52	13.aes.52	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.52
SAMN13502354	Successfully loaded	13.aes.60	13.aes.60	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.60
