accession	message	sample_name	sample_title	bioproject_number	organism	collection_date	env_broad_scale	env_local_scale	env_medium	geo_loc_name	host	lat_lon	isolation_source	sample_id_unique
SAMN13502413	Successfully loaded	13.tp.357	13.tp.357	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.tp.357
SAMN13502414	Successfully loaded	1303I	1303I	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	1303I
SAMN13502415	Successfully loaded	1452M	1452M	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	1452M
SAMN13502416	Successfully loaded	1452N	1452N	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	1452N
SAMN13502417	Successfully loaded	1452O	1452O	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	1452O
SAMN13502418	Successfully loaded	1452P	1452P	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	1452P
SAMN13502419	Successfully loaded	1452Q	1452Q	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	1452Q
SAMN13502420	Successfully loaded	1452R	1452R	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	1452R
SAMN13502421	Successfully loaded	1452S	1452S	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	1452S
SAMN13502422	Successfully loaded	1452T	1452T	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	1452T
SAMN13502423	Successfully loaded	1452U	1452U	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	1452U
SAMN13502424	Successfully loaded	FMT.0001D	FMT.0001D	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0001D
SAMN13502425	Successfully loaded	FMT.0041E	FMT.0041E	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0041E
SAMN13502426	Successfully loaded	FMT.0046F	FMT.0046F	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0046F
SAMN13502427	Successfully loaded	FMT.0046G	FMT.0046G	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0046G
SAMN13502428	Successfully loaded	FMT.0046H	FMT.0046H	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0046H
SAMN13502429	Successfully loaded	FMT.0076Q	FMT.0076Q	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0076Q
SAMN13502430	Successfully loaded	FMT.0080Q	FMT.0080Q	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0080Q
SAMN13502431	Successfully loaded	FMT.0092CC	FMT.0092CC	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0092CC
SAMN13502432	Successfully loaded	FMT.0106P	FMT.0106P	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0106P
SAMN13502433	Successfully loaded	FMT.0106R	FMT.0106R	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0106R
SAMN13502434	Successfully loaded	FMT.0106U	FMT.0106U	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0106U
SAMN13502435	Successfully loaded	FMT.0118H	FMT.0118H	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0118H
SAMN13502436	Successfully loaded	FMT.0120N	FMT.0120N	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0120N
SAMN13502437	Successfully loaded	FMT.0126X	FMT.0126X	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0126X
SAMN13502438	Successfully loaded	FMT.0154J	FMT.0154J	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0154J
SAMN13502439	Successfully loaded	FMT.0154K	FMT.0154K	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0154K
SAMN13502440	Successfully loaded	FMT.0154L	FMT.0154L	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0154L
SAMN13502441	Successfully loaded	FMT.0154M	FMT.0154M	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0154M
SAMN13502442	Successfully loaded	FMT.0154N	FMT.0154N	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0154N
SAMN13502443	Successfully loaded	FMT.0154P	FMT.0154P	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0154P
SAMN13502444	Successfully loaded	FMT.0154Q	FMT.0154Q	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0154Q
SAMN13502445	Successfully loaded	FMT.0160Q	FMT.0160Q	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0160Q
SAMN13502446	Successfully loaded	FMT.0160R	FMT.0160R	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0160R
SAMN13502447	Successfully loaded	FMT.0160S	FMT.0160S	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0160S
SAMN13502448	Successfully loaded	FMT.0160T	FMT.0160T	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0160T
SAMN13502449	Successfully loaded	FMT.0171U	FMT.0171U	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0171U
SAMN13502450	Successfully loaded	FMT.0171V	FMT.0171V	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0171V
SAMN13502451	Successfully loaded	FMT.0171W	FMT.0171W	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0171W
SAMN13502452	Successfully loaded	FMT.0173O	FMT.0173O	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0173O
SAMN13502453	Successfully loaded	FMT.0173P	FMT.0173P	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0173P
SAMN13502454	Successfully loaded	FMT.0173Q	FMT.0173Q	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0173Q
SAMN13502455	Successfully loaded	FMT.0173R	FMT.0173R	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0173R
SAMN13502456	Successfully loaded	FMT.0176S	FMT.0176S	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0176S
SAMN13502457	Successfully loaded	FMT.0176T	FMT.0176T	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0176T
SAMN13502458	Successfully loaded	FMT.0176U	FMT.0176U	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0176U
SAMN13502459	Successfully loaded	FMT.0176V	FMT.0176V	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0176V
SAMN13502460	Successfully loaded	FMT.0176W	FMT.0176W	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0176W
SAMN13502461	Successfully loaded	FMT.0176X	FMT.0176X	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0176X
SAMN13502462	Successfully loaded	FMT.0178AA	FMT.0178AA	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0178AA
SAMN13502463	Successfully loaded	FMT.0178X	FMT.0178X	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0178X
SAMN13502464	Successfully loaded	FMT.0178Y	FMT.0178Y	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0178Y
SAMN13502465	Successfully loaded	FMT.0178Z	FMT.0178Z	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0178Z
SAMN13502466	Successfully loaded	FMT.0182J	FMT.0182J	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0182J
SAMN13502467	Successfully loaded	FMT.0182K	FMT.0182K	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0182K
SAMN13502468	Successfully loaded	FMT.0182L	FMT.0182L	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0182L
SAMN13502469	Successfully loaded	FMT.0191O	FMT.0191O	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0191O
SAMN13502470	Successfully loaded	FMT.0191P	FMT.0191P	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0191P
SAMN13502471	Successfully loaded	FMT.0191Q	FMT.0191Q	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0191Q
SAMN13502472	Successfully loaded	FMT.0207N	FMT.0207N	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0207N
SAMN13502473	Successfully loaded	FMT.0207O	FMT.0207O	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0207O
SAMN13502474	Successfully loaded	FMT.0207P	FMT.0207P	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0207P
SAMN13502475	Successfully loaded	FMT.0207Q	FMT.0207Q	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0207Q
SAMN13502476	Successfully loaded	FMT.0207R	FMT.0207R	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0207R
SAMN13502477	Successfully loaded	FMT.0224O	FMT.0224O	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0224O
SAMN13502478	Successfully loaded	FMT.0224P	FMT.0224P	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0224P
SAMN13502479	Successfully loaded	FMT.0224Q	FMT.0224Q	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0224Q
SAMN13502480	Successfully loaded	FMT.0224R	FMT.0224R	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0224R
SAMN13502481	Successfully loaded	FMT.0224S	FMT.0224S	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0224S
SAMN13502482	Successfully loaded	FMT.0225B	FMT.0225B	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0225B
SAMN13502483	Successfully loaded	FMT.0226C	FMT.0226C	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0226C
SAMN13502484	Successfully loaded	FMT.0226D	FMT.0226D	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0226D
SAMN13502485	Successfully loaded	FMT.0226E	FMT.0226E	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0226E
SAMN13502486	Successfully loaded	FMT.0228B	FMT.0228B	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0228B
SAMN13502487	Successfully loaded	FMT.0228C	FMT.0228C	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0228C
SAMN13502488	Successfully loaded	FMT.0230C	FMT.0230C	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0230C
SAMN13502489	Successfully loaded	FMT.0230D	FMT.0230D	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0230D
SAMN13502490	Successfully loaded	FMT.0232C	FMT.0232C	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0232C
SAMN13502491	Successfully loaded	FMT.0232E	FMT.0232E	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0232E
SAMN13502492	Successfully loaded	FMT.0232F	FMT.0232F	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0232F
SAMN13502493	Successfully loaded	FMT.0232G	FMT.0232G	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0232G
SAMN13502494	Successfully loaded	FMT.0232H	FMT.0232H	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0232H
SAMN13502495	Successfully loaded	FMT.0232I	FMT.0232I	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0232I
SAMN13502496	Successfully loaded	FMT.0232J	FMT.0232J	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0232J
SAMN13502497	Successfully loaded	FMT.0236L	FMT.0236L	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0236L
SAMN13502498	Successfully loaded	FMT.0236M	FMT.0236M	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0236M
SAMN13502499	Successfully loaded	FMT.0236N	FMT.0236N	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0236N
SAMN13502500	Successfully loaded	FMT.0236O	FMT.0236O	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0236O
SAMN13502501	Successfully loaded	FMT.0237C	FMT.0237C	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0237C
SAMN13502502	Successfully loaded	FMT.0237D	FMT.0237D	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0237D
SAMN13502503	Successfully loaded	FMT.0237E	FMT.0237E	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0237E
SAMN13502504	Successfully loaded	FMT.0237G	FMT.0237G	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0237G
SAMN13502505	Successfully loaded	FMT.0237H	FMT.0237H	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0237H
SAMN13502506	Successfully loaded	FMT.0237I	FMT.0237I	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0237I
SAMN13502507	Successfully loaded	FMT.0245B	FMT.0245B	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0245B
SAMN13502508	Successfully loaded	FMT.0245D	FMT.0245D	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0245D
SAMN13502509	Successfully loaded	FMT.0245E	FMT.0245E	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0245E
SAMN13502510	Successfully loaded	FMT.0245G	FMT.0245G	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0245G
SAMN13502511	Successfully loaded	FMT.0245H	FMT.0245H	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0245H
SAMN13502512	Successfully loaded	FMT.0245I	FMT.0245I	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0245I
SAMN13502513	Successfully loaded	FMT.0245J	FMT.0245J	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0245J
SAMN13502514	Successfully loaded	FMT.0245K	FMT.0245K	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	FMT.0245K
